0,0
1,0
2,0
3,0
4,1
5,1
6,2
7,3
8,3
9,3
10,4
11,4
12,4
13,4
14,5
15,5
16,5
17,5
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,7
26,7
27,7
28,8
29,8
30,8
31,8
32,8
33,8
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,10
42,10
43,10
44,10
45,11
46,11
47,11
48,12
49,12
50,13
51,13
52,13
53,13
54,13
55,14
56,14
57,14
58,14
59,15
60,15
61,15
62,15
63,16
64,16
65,16
66,16
67,16
68,17
69,17
70,17
71,17
72,18
73,18
74,18
75,18
76,18
77,18
78,18
79,19
80,19
81,19
82,20
83,20
84,21
85,21
86,21
87,21
88,22
89,22
90,22
91,23
92,23
93,24
94,24
95,24
96,24
97,25
98,25
99,25
100,25
101,25
102,26
103,26
104,26
105,27
106,27
107,27
108,27
109,28
110,28
111,28
112,28
113,28
114,29
115,29
116,29
117,29
118,29
119,29
120,29
121,30
122,30
123,30
124,31
125,31
126,31
127,31
128,31
129,31
130,32
131,32
132,32
133,32
134,32
135,32
136,33
137,33
138,33
139,33
140,34
141,34
142,35
143,35
144,35
145,35
146,35
147,36
148,36
149,36
150,36
151,37
152,38
153,38
154,38
155,38
156,38
157,38
158,39
159,39
160,39
161,39
162,39
163,40
164,40
165,41
166,41
167,42
168,42
169,42
170,43
171,43
172,43
173,43
174,44
175,44
176,45
177,45
178,45
179,46
180,46
181,46
182,46
183,46
184,47
185,47
186,47
187,48
188,48
189,49
190,50
191,50
192,51
193,51
194,52
195,52
196,53
197,53
198,54
199,55
200,55
201,55
